Estado,Region,RegionN,Qt1,Qt2,Qt3,Qt4,TotalExp,year
TotalMX,Mexico,0,792.68653,891.20165,891.23755,900.47109,3475.59682,2014
Aguascalientes,Centro-norte,3,20.18619,20.62915,22.59834,21.2464,84.66008,2014
Baja California,Norte,1,69.36175,87.59343,87.78162,105.29171,350.02851,2014
Baja California Sur,Norte-occidente,2,0.49538,0.4006,0.46115,0.47142,1.82855,2014
Campeche,Sur,5,61.88844,59.94174,57.05026,44.39033,223.27077,2014
Coahuila,Norte,1,79.0454,89.67177,88.2585,91.41359,348.38926,2014
Colima,Centro-norte,3,0.53732,0.60544,0.82204,0.73223,2.69703,2014
Chiapas,Sur,5,3.76551,4.10312,3.52952,3.20812,14.60627,2014
Chihuahua,Norte,1,102.54817,116.5195,115.76001,121.11682,455.9445,2014
Ciudad de Mexico,Centro,4,6.46335,7.23431,7.27667,6.07864,27.05297,2014
Durango,Norte-occidente,2,4.02116,4.82171,5.02415,4.75264,18.61966,2014
Guanajuato,Centro,4,38.22067,41.41964,45.23153,47.17185,172.04369,2014
Guerrero,Sur,5,1.45893,1.20872,1.32113,0.95118,4.93996,2014
Hidalgo,Centro,4,3.65049,4.6276,4.64637,4.29205,17.21651,2014
Jalisco,Centro-norte,3,42.27394,45.57207,48.95206,50.57905,187.37712,2014
Mexico,Centro,4,49.13506,57.79393,60.03133,57.76376,224.72408,2014
Michoacan,Centro-norte,3,2.80421,2.60395,2.92089,2.66414,10.99319,2014
Morelos,Centro,4,8.90068,9.21194,10.25958,9.54366,37.91586,2014
Nayarit,Norte-occidente,2,0.2325,0.31575,0.3238,0.25403,1.12608,2014
Nuevo Leon,Norte,1,68.03424,78.89344,82.735,85.46745,315.13013,2014
Oaxaca,Sur,5,3.02681,3.88897,3.55269,3.12382,13.59229,2014
Puebla,Centro,4,23.93871,29.35982,25.40797,27.23942,105.94592,2014
Queretaro,Centro,4,20.78945,23.62957,23.18682,23.87192,91.47776,2014
Quintana Roo,Sur,5,0.12035,0.02161,0.03911,0.01116,0.19223,2014
San Luis Potosi,Centro-norte,3,19.73368,21.28705,21.96434,21.78326,84.76833,2014
Sinaloa,Norte-occidente,2,1.79474,2.02537,2.06215,1.81482,7.69708,2014
Sonora,Norte,1,37.81521,40.37824,38.64673,39.27866,156.11884,2014
Tabasco,Sur,5,30.92984,30.36092,28.92432,22.73958,112.95466,2014
Tamaulipas,Norte,1,60.75184,70.46509,70.32143,72.44159,273.97995,2014
Tlaxcala,Centro,4,3.0521,3.36109,3.24127,3.1309,12.78536,2014
Veracruz ,Sur,5,17.68908,21.30112,17.30573,16.13202,72.42795,2014
Yucatan,Sur,5,3.06434,3.17596,3.77966,4.2048,14.22476,2014
Zacatecas,Norte-occidente,2,6.95697,8.77901,7.82142,7.31007,30.86747,2014
TotalMX,Mexico,0,800.28821,868.29973,856.99522,846.11879,3371.70195,2015
Aguascalientes,Centro-norte,3,21.18625,21.21267,21.52218,21.03334,84.95444,2015
Baja California,Norte,1,73.69387,93.43771,99.23376,118.05462,384.41996,2015
Baja California Sur,Norte-occidente,2,0.34033,0.42549,0.52595,0.70484,1.99661,2015
Campeche,Sur,5,31.47237,31.48083,28.18983,21.74063,112.88366,2015
Coahuila,Norte,1,86.91692,93.10227,92.238,90.26051,362.5177,2015
Colima,Centro-norte,3,0.65601,0.73582,0.87573,0.61652,2.88408,2015
Chiapas,Sur,5,3.24367,2.81649,2.81257,2.78477,11.6575,2015
Chihuahua,Norte,1,96.80562,99.91213,106.20606,100.10564,403.02945,2015
Ciudad de Mexico,Centro,4,5.78843,6.58534,6.24332,5.90593,24.52302,2015
Durango,Norte-occidente,2,4.37362,4.53465,4.38209,4.23459,17.52495,2015
Guanajuato,Centro,4,49.26147,53.97061,53.16513,51.4811,207.87831,2015
Guerrero,Sur,5,0.94084,0.82324,0.76798,0.81316,3.34522,2015
Hidalgo,Centro,4,4.89876,4.7497,4.02463,3.59195,17.26504,2015
Jalisco,Centro-norte,3,45.43506,49.42241,51.71703,50.80234,197.37684,2015
Mexico,Centro,4,51.95984,54.5179,54.11479,53.33473,213.92726,2015
Michoacan,Centro-norte,3,2.07026,2.27745,2.37902,1.50227,8.229,2015
Morelos,Centro,4,8.56509,8.4067,8.68226,8.37353,34.02758,2015
Nayarit,Norte-occidente,2,0.18389,0.2508,0.41245,0.16539,1.01253,2015
Nuevo Leon,Norte,1,81.86935,93.98512,85.58835,83.77874,345.22156,2015
Oaxaca,Sur,5,2.58837,2.52683,1.62549,0.63132,7.37201,2015
Puebla,Centro,4,24.61247,27.56991,26.2032,23.03084,101.41642,2015
Queretaro,Centro,4,23.4169,26.94838,26.62865,27.01074,104.00467,2015
Quintana Roo,Sur,5,0.12887,0.14512,0.02763,0.00913,0.31075,2015
San Luis Potosi,Centro-norte,3,23.17648,25.5071,24.70131,24.67908,98.06397,2015
Sinaloa,Norte-occidente,2,3.4146,3.36386,3.26218,2.41853,12.45917,2015
Sonora,Norte,1,39.87547,44.72273,40.6275,43.73313,168.95883,2015
Tabasco,Sur,5,18.46282,17.85543,16.52246,13.19556,66.03627,2015
Tamaulipas,Norte,1,64.51254,66.96944,65.31105,66.20799,263.00102,2015
Tlaxcala,Centro,4,3.06321,3.21675,3.49012,3.30244,13.07252,2015
Veracruz ,Sur,5,15.70236,13.9421,13.66484,11.06125,54.37055,2015
Yucatan,Sur,5,3.39654,3.53227,3.92143,3.85916,14.7094,2015
Zacatecas,Norte-occidente,2,8.27593,9.35248,7.92823,7.69502,33.25166,2015
TotalMX,Mexico,0,735.07644,817.89929,837.02236,859.01611,3249.0142,2016
Aguascalientes,Centro-norte,3,20.37057,19.75078,18.93795,19.65032,78.70962,2016
Baja California,Norte,1,74.79002,87.40247,93.55195,104.22836,359.9728,2016
Baja California Sur,Norte-occidente,2,0.4114,0.47824,0.70885,0.77665,2.37514,2016
Campeche,Sur,5,16.42688,23.01925,27.43753,28.26741,95.15107,2016
Coahuila,Norte,1,85.78029,92.6135,95.78232,102.81952,376.99563,2016
Colima,Centro-norte,3,0.60616,0.68463,0.71842,0.71691,2.72612,2016
Chiapas,Sur,5,1.37973,1.54784,1.50254,1.44493,5.87504,2016
Chihuahua,Norte,1,93.59723,107.08947,117.18889,115.54507,433.42066,2016
Ciudad de Mexico,Centro,4,5.75583,6.08737,5.91797,5.26734,23.02851,2016
Durango,Norte-occidente,2,3.79813,4.4497,4.25408,4.04593,16.54784,2016
Guanajuato,Centro,4,51.62738,56.61593,55.98267,56.77237,220.99835,2016
Guerrero,Sur,5,1.4176,1.85765,1.74404,1.45858,6.47787,2016
Hidalgo,Centro,4,3.97915,4.8621,3.76558,4.17046,16.77729,2016
Jalisco,Centro-norte,3,43.96917,47.31721,48.07554,39.4167,178.77862,2016
Mexico,Centro,4,42.64476,46.50303,41.56451,42.60993,173.32223,2016
Michoacan,Centro-norte,3,2.03737,2.36875,3.10526,2.28076,9.79214,2016
Morelos,Centro,4,9.60602,9.68496,9.07027,9.51396,37.87521,2016
Nayarit,Norte-occidente,2,0.40584,0.40681,0.48243,0.36853,1.66361,2016
Nuevo Leon,Norte,1,73.64914,81.0065,83.09778,84.01963,321.77305,2016
Oaxaca,Sur,5,1.61934,1.8349,1.42999,1.38738,6.27161,2016
Puebla,Centro,4,18.23535,22.81831,23.35979,29.31625,93.7297,2016
Queretaro,Centro,4,24.47919,27.45941,25.16615,26.04361,103.14836,2016
Quintana Roo,Sur,5,0.01808,0.02223,0.04416,0.14709,0.23156,2016
San Luis Potosi,Centro-norte,3,22.34763,24.68555,23.66753,24.34955,95.05026,2016
Sinaloa,Norte-occidente,2,2.91995,3.38228,3.18147,3.35591,12.83961,2016
Sonora,Norte,1,43.64838,44.83023,42.9028,44.06282,175.44423,2016
Tabasco,Sur,5,9.32738,13.33885,15.28687,15.75444,53.70754,2016
Tamaulipas,Norte,1,57.1782,62.8064,64.90284,64.37482,249.26226,2016
Tlaxcala,Centro,4,3.33032,3.2373,3.30282,3.23757,13.10801,2016
Veracruz ,Sur,5,10.08378,10.65853,10.95768,11.69857,43.39856,2016
Yucatan,Sur,5,3.33746,3.24374,2.94322,3.10212,12.62654,2016
Zacatecas,Norte-occidente,2,6.29869,5.83536,6.98844,8.8126,27.93509,2016
TotalMX,Mexico,0,802.8086,877.52282,883.95527,952.97392,3517.26061,2017
Aguascalientes,Centro-norte,3,21.07344,19.83401,17.96388,19.42886,78.30019,2017
Baja California,Norte,1,78.52746,86.99364,92.59593,105.04013,363.15716,2017
Baja California Sur,Norte-occidente,2,0.48396,0.57643,0.54992,0.88542,2.49573,2017
Campeche,Sur,5,27.78502,25.93093,31.62432,41.92064,127.26091,2017
Coahuila,Norte,1,90.2626,97.30972,97.02091,104.91354,389.50677,2017
Colima,Centro-norte,3,0.31812,0.33858,0.40305,0.27705,1.3368,2017
Chiapas,Sur,5,1.50065,1.59842,1.39621,1.56603,6.06131,2017
Chihuahua,Norte,1,103.7412,123.11418,118.45792,119.6022,464.9155,2017
Ciudad de Mexico,Centro,4,6.52602,6.78235,6.30576,6.69131,26.30544,2017
Durango,Norte-occidente,2,3.75303,4.24657,4.28761,4.43636,16.72357,2017
Guanajuato,Centro,4,56.10968,59.09381,57.40683,60.99258,233.6029,2017
Guerrero,Sur,5,0.52479,0.61556,0.53918,0.69005,2.36958,2017
Hidalgo,Centro,4,4.6578,5.00826,4.07518,4.14809,17.88933,2017
Jalisco,Centro-norte,3,44.13671,45.20201,45.60131,51.93645,186.87648,2017
Mexico,Centro,4,41.96508,45.98255,48.48988,49.58241,186.01992,2017
Michoacan,Centro-norte,3,3.20886,3.57848,3.19614,2.74226,12.72574,2017
Morelos,Centro,4,9.16529,8.86616,8.08864,8.78774,34.90783,2017
Nayarit,Norte-occidente,2,0.28758,0.34074,0.32745,0.28977,1.24554,2017
Nuevo Leon,Norte,1,77.7823,90.46686,97.37585,94.42224,360.04725,2017
Oaxaca,Sur,5,1.94701,1.65821,1.19239,1.23919,6.0368,2017
Puebla,Centro,4,29.35262,37.29408,38.78739,44.75743,150.19152,2017
Queretaro,Centro,4,24.1008,27.07883,25.13118,28.47531,104.78612,2017
Quintana Roo,Sur,5,0.00748,0.16121,0.15669,0.00635,0.33173,2017
San Luis Potosi,Centro-norte,3,30.38088,33.45204,32.7262,37.04675,133.60587,2017
Sinaloa,Norte-occidente,2,2.29257,2.32398,2.39246,2.59232,9.60133,2017
Sonora,Norte,1,42.51619,44.42087,42.41958,45.07933,174.43597,2017
Tabasco,Sur,5,14.11326,13.18392,15.99791,20.83017,64.12526,2017
Tamaulipas,Norte,1,59.1347,64.86657,63.5922,67.47969,255.07316,2017
Tlaxcala,Centro,4,3.43526,3.43198,3.36172,3.57068,13.79964,2017
Veracruz ,Sur,5,14.01668,13.40166,12.09443,14.11586,53.62863,2017
Yucatan,Sur,5,2.05278,2.45491,2.46902,2.65292,9.62963,2017
Zacatecas,Norte-occidente,2,7.64879,7.91529,7.92809,6.77481,30.26698,2017
TotalMX,Mexico,0,928.65371,1007.9505,1012.69682,1057.79899,4007.10002,2018
Aguascalientes,Centro-norte,3,21.74725,24.16351,25.24296,25.35347,96.50719,2018
Baja California,Norte,1,84.86589,98.34522,101.8401,113.91333,398.96454,2018
Baja California Sur,Norte-occidente,2,0.93108,0.63031,0.89278,0.97898,3.43315,2018
Campeche,Sur,5,42.39566,46.05616,49.97626,45.17931,183.60739,2018
Coahuila,Norte,1,97.35695,101.30757,105.3642,106.31936,410.34808,2018
Colima,Centro-norte,3,1.97925,1.85682,1.87125,1.82291,7.53023,2018
Chiapas,Sur,5,2.28406,2.4153,2.04141,1.97561,8.71638,2018
Chihuahua,Norte,1,116.01933,132.64478,131.22622,148.75155,528.64188,2018
Ciudad de Mexico,Centro,4,6.06106,6.73452,6.90165,6.62425,26.32148,2018
Durango,Norte-occidente,2,4.71376,5.31727,5.42672,5.81225,21.27,2018
Guanajuato,Centro,4,64.7222,66.78406,60.02772,63.51282,255.0468,2018
Guerrero,Sur,5,1.61887,1.73012,1.81294,1.90636,7.06829,2018
Hidalgo,Centro,4,4.88345,5.66228,5.73313,6.14468,22.42354,2018
Jalisco,Centro-norte,3,47.84678,54.75719,51.56165,57.17056,211.33618,2018
Mexico,Centro,4,47.94621,48.37295,54.66546,52.36636,203.35098,2018
Michoacan,Centro-norte,3,13.89839,12.57711,11.44828,11.56176,49.48554,2018
Morelos,Centro,4,8.86942,9.93246,9.58141,9.95005,38.33334,2018
Nayarit,Norte-occidente,2,0.67442,0.60902,0.86654,0.616,2.76598,2018
Nuevo Leon,Norte,1,85.69448,98.1209,104.74853,107.58888,396.15279,2018
Oaxaca,Sur,5,2.0259,3.12072,1.8191,2.22447,9.19019,2018
Puebla,Centro,4,38.94493,40.96788,46.00435,42.46194,168.3791,2018
Queretaro,Centro,4,26.21194,28.86377,26.32932,30.86828,112.27331,2018
Quintana Roo,Sur,5,0.06536,0.20358,0.31251,0.2098,0.79125,2018
San Luis Potosi,Centro-norte,3,35.70516,38.83885,39.45741,38.94208,152.9435,2018
Sinaloa,Norte-occidente,2,11.77781,7.74083,4.67411,5.43357,29.62632,2018
Sonora,Norte,1,49.03137,51.05282,44.83806,53.70975,198.632,2018
Tabasco,Sur,5,17.97461,18.66181,18.78689,14.7533,70.17661,2018
Tamaulipas,Norte,1,62.82576,67.45063,69.75734,73.11368,273.14741,2018
Tlaxcala,Centro,4,3.13974,3.781,3.73731,3.75113,14.40918,2018
Veracruz ,Sur,5,15.98329,17.54993,15.61245,14.52626,63.67193,2018
Yucatan,Sur,5,2.4363,2.88501,2.87307,2.94472,11.1391,2018
Zacatecas,Norte-occidente,2,8.02303,8.81611,7.26566,7.31153,31.41633,2018
TotalMX,Mexico,0,972.29436,1081.54895,1060.54505,1061.40996,4175.79832,2019
Aguascalientes,Centro-norte,3,27.17514,31.37206,28.39679,30.99674,117.94073,2019
Baja California,Norte,1,91.34555,104.35346,108.89655,119.37395,423.96951,2019
Baja California Sur,Norte-occidente,2,0.75649,0.69411,0.4724,0.99512,2.91812,2019
Campeche,Sur,5,45.64335,44.33726,39.52209,36.28806,165.79076,2019
Coahuila,Norte,1,101.28435,120.62848,130.40966,124.27212,476.59461,2019
Colima,Centro-norte,3,1.72055,1.78282,1.81761,1.52741,6.84839,2019
Chiapas,Sur,5,2.18817,2.26602,1.97635,1.77115,8.20169,2019
Chihuahua,Norte,1,125.61019,150.1135,143.11644,155.50126,574.34139,2019
Ciudad de Mexico,Centro,4,6.4525,6.72801,7.10596,6.38479,26.67126,2019
Durango,Norte-occidente,2,5.85766,6.9193,7.00338,7.59196,27.3723,2019
Guanajuato,Centro,4,61.01665,65.16987,62.62342,61.84804,250.65798,2019
Guerrero,Sur,5,2.01842,2.25184,2.66812,2.72636,9.66474,2019
Hidalgo,Centro,4,4.98057,5.93255,6.60105,5.47926,22.99343,2019
Jalisco,Centro-norte,3,50.74226,57.43841,54.66189,53.75384,216.5964,2019
Mexico,Centro,4,49.53624,52.77604,50.42741,47.36032,200.10001,2019
Michoacan,Centro-norte,3,13.82923,14.48436,12.95295,14.59825,55.86479,2019
Morelos,Centro,4,8.17858,7.71269,7.8473,7.12848,30.86705,2019
Nayarit,Norte-occidente,2,0.63492,0.65034,0.71659,0.66575,2.6676,2019
Nuevo Leon,Norte,1,92.44717,102.68302,104.21987,99.22047,398.57053,2019
Oaxaca,Sur,5,1.81559,2.09057,1.5016,1.71798,7.12574,2019
Puebla,Centro,4,41.31338,47.61798,45.29102,41.25736,175.47974,2019
Queretaro,Centro,4,28.3693,33.0411,33.17915,34.09843,128.68798,2019
Quintana Roo,Sur,5,0.197,0.2095,0.25497,0.1476,0.80907,2019
San Luis Potosi,Centro-norte,3,36.91245,38.93644,39.81839,39.64948,155.31676,2019
Sinaloa,Norte-occidente,2,11.92551,7.25957,4.3786,4.83634,28.40002,2019
Sonora,Norte,1,49.84085,55.49746,46.62249,46.44451,198.40531,2019
Tabasco,Sur,5,13.5721,12.73298,11.71421,12.10886,50.12815,2019
Tamaulipas,Norte,1,67.61341,74.45994,75.01052,74.21774,291.30161,2019
Tlaxcala,Centro,4,3.39445,3.78793,3.79011,3.63616,14.60865,2019
Veracruz ,Sur,5,16.5827,18.25588,16.80598,15.32792,66.97248,2019
Yucatan,Sur,5,2.49745,2.84159,2.88427,2.97294,11.19625,2019
Zacatecas,Norte-occidente,2,6.84217,6.52388,7.85787,7.5113,28.73522,2019
TotalMX,Mexico,0,981.44712,652.67884,1000.99245,1107.98729,3743.1057,2020
Aguascalientes,Centro-norte,3,31.00336,13.21203,31.22986,39.05167,114.49692,2020
Baja California,Norte,1,93.20396,75.92156,110.89032,126.57475,406.59059,2020
Baja California Sur,Norte-occidente,2,0.69094,0.72211,0.47823,0.76627,2.65755,2020
Campeche,Sur,5,32.68532,16.40922,26.09361,27.55841,102.74656,2020
Coahuila,Norte,1,116.64425,66.16381,128.36527,138.44236,449.61569,2020
Colima,Centro-norte,3,1.89785,1.85836,1.86228,1.90167,7.52016,2020
Chiapas,Sur,5,2.1755,1.68023,1.58427,1.69909,7.13909,2020
Chihuahua,Norte,1,131.21694,107.41728,149.76729,160.80245,549.20396,2020
Ciudad de Mexico,Centro,4,5.92606,4.51233,5.18711,5.65526,21.28076,2020
Durango,Norte-occidente,2,6.535,5.31128,7.52589,7.47606,26.84823,2020
Guanajuato,Centro,4,67.33104,28.58884,67.56794,76.25792,239.74574,2020
Guerrero,Sur,5,2.4228,1.37787,3.01974,2.82873,9.64914,2020
Hidalgo,Centro,4,4.25182,3.26909,2.38442,2.85425,12.75958,2020
Jalisco,Centro-norte,3,50.73831,43.43939,49.81174,57.00421,200.99365,2020
Mexico,Centro,4,39.20981,23.99081,36.02646,40.86917,140.09625,2020
Michoacan,Centro-norte,3,17.60564,15.18905,10.30338,13.98402,57.08209,2020
Morelos,Centro,4,7.12726,3.48558,7.92406,7.90859,26.44549,2020
Nayarit,Norte-occidente,2,0.61961,0.58083,0.74731,0.54243,2.49018,2020
Nuevo Leon,Norte,1,87.76946,68.6922,87.89144,100.19724,344.55034,2020
Oaxaca,Sur,5,1.43435,1.58354,0.86566,1.45125,5.3348,2020
Puebla,Centro,4,40.29567,9.97283,42.85554,42.08034,135.20438,2020
Queretaro,Centro,4,31.7796,19.16646,30.86648,35.57635,117.38889,2020
Quintana Roo,Sur,5,0.01963,0.01695,0.13789,0.03233,0.2068,2020
San Luis Potosi,Centro-norte,3,35.5154,17.9678,41.46623,41.69686,136.64629,2020
Sinaloa,Norte-occidente,2,12.80046,6.8625,4.39278,4.99679,29.05253,2020
Sonora,Norte,1,51.34412,37.45957,41.02314,47.52724,177.35407,2020
Tabasco,Sur,5,11.77004,6.63011,10.49094,11.84278,40.73387,2020
Tamaulipas,Norte,1,66.65258,47.94279,72.09266,80.22198,266.91001,2020
Tlaxcala,Centro,4,3.83731,3.02341,3.49296,4.13306,14.48674,2020
Veracruz ,Sur,5,15.88763,13.02069,11.76108,12.04356,52.71296,2020
Yucatan,Sur,5,2.52289,1.23209,2.23819,2.59154,8.58471,2020
Zacatecas,Norte-occidente,2,8.53252,5.97822,10.6483,11.41864,36.57768,2020
